"REF_DATE","GEO","DGUID","Self-reported cannabis use in the past three months","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Canada, ages 15 to 24","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100647","17.4","33.1","","","","1"
"2019-07","Canada, ages 15 to 24","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100647","17.4","34.8","","","","1"
"2019-10","Canada, ages 15 to 24","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100647","17.4","31.4","","","","1"
"2019-01","Canada, ages 25 to 34","2016A000011124","Number of people","Number","223","thousands","3","v1038100582","18.1","1675.0","","","","1"
"2019-04","Canada, ages 25 to 34","2016A000011124","Number of people","Number","223","thousands","3","v1038100582","18.1","1499.4","","","","1"
"2019-07","Canada, ages 25 to 34","2016A000011124","Number of people","Number","223","thousands","3","v1038100582","18.1","1732.2","","","","1"
"2019-10","Canada, ages 25 to 34","2016A000011124","Number of people","Number","223","thousands","3","v1038100582","18.1","1493.8","","","","1"
"2019-01","Canada, ages 25 to 34","2016A000011124","Percentage of people","Percent","239","units","0","v1038100604","18.2","28.7","","","","1"
"2019-04","Canada, ages 25 to 34","2016A000011124","Percentage of people","Percent","239","units","0","v1038100604","18.2","27.4","","","","1"
"2019-07","Canada, ages 25 to 34","2016A000011124","Percentage of people","Percent","239","units","0","v1038100604","18.2","29.8","","","","1"
"2019-10","Canada, ages 25 to 34","2016A000011124","Percentage of people","Percent","239","units","0","v1038100604","18.2","26.9","","","","1"
"2019-01","Canada, ages 25 to 34","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100626","18.3","24.4","","","","1"
"2019-04","Canada, ages 25 to 34","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100626","18.3","22.7","","","","1"
"2019-07","Canada, ages 25 to 34","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100626","18.3","25.3","","","","1"
"2019-10","Canada, ages 25 to 34","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100626","18.3","22.0","","","","1"
"2019-01","Canada, ages 25 to 34","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100648","18.4","33.4","","","","1"
"2019-04","Canada, ages 25 to 34","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100648","18.4","32.7","","","","1"
"2019-07","Canada, ages 25 to 34","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100648","18.4","34.7","","","","1"
"2019-10","Canada, ages 25 to 34","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100648","18.4","32.4","","","","1"
"2019-01","Canada, ages 35 to 44","2016A000011124","Number of people","Number","223","thousands","3","v1038100583","19.1","917.1","","","","1"
"2019-04","Canada, ages 35 to 44","2016A000011124","Number of people","Number","223","thousands","3","v1038100583","19.1","990.0","","","","1"
"2019-07","Canada, ages 35 to 44","2016A000011124","Number of people","Number","223","thousands","3","v1038100583","19.1","1007.7","","","","1"
"2019-10","Canada, ages 35 to 44","2016A000011124","Number of people","Number","223","thousands","3","v1038100583","19.1","1000.4","","","","1"
"2019-01","Canada, ages 35 to 44","2016A000011124","Percentage of people","Percent","239","units","0","v1038100605","19.2","18.8","","","","1"
"2019-04","Canada, ages 35 to 44","2016A000011124","Percentage of people","Percent","239","units","0","v1038100605","19.2","20.4","","","","1"
"2019-07","Canada, ages 35 to 44","2016A000011124","Percentage of people","Percent","239","units","0","v1038100605","19.2","20.5","","","","1"
"2019-10","Canada, ages 35 to 44","2016A000011124","Percentage of people","Percent","239","units","0","v1038100605","19.2","20.1","","","","1"
"2019-01","Canada, ages 35 to 44","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100627","19.3","15.7","","","","1"
"2019-04","Canada, ages 35 to 44","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100627","19.3","16.9","","","","1"
"2019-07","Canada, ages 35 to 44","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100627","19.3","17.2","","","","1"
"2019-10","Canada, ages 35 to 44","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100627","19.3","16.7","","","","1"
"2019-01","Canada, ages 35 to 44","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100649","19.4","22.3","","","","1"
"2019-04","Canada, ages 35 to 44","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100649","19.4","24.4","","","","1"
"2019-07","Canada, ages 35 to 44","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100649","19.4","24.2","","","","1"
"2019-10","Canada, ages 35 to 44","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100649","19.4","24.0","","","","1"
"2019-01","Canada, ages 45 to 54","2016A000011124","Number of people","Number","223","thousands","3","v1038100584","20.1","595.1","","","","1"
"2019-04","Canada, ages 45 to 54","2016A000011124","Number of people","Number","223","thousands","3","v1038100584","20.1","424.0","","","","1"
"2019-07","Canada, ages 45 to 54","2016A000011124","Number of people","Number","223","thousands","3","v1038100584","20.1","490.9","","","","1"
"2019-10","Canada, ages 45 to 54","2016A000011124","Number of people","Number","223","thousands","3","v1038100584","20.1","731.8","","","","1"
"2019-01","Canada, ages 45 to 54","2016A000011124","Percentage of people","Percent","239","units","0","v1038100606","20.2","12.5","","","","1"
"2019-04","Canada, ages 45 to 54","2016A000011124","Percentage of people","Percent","239","units","0","v1038100606","20.2","9.0","","","","1"
"2019-07","Canada, ages 45 to 54","2016A000011124","Percentage of people","Percent","239","units","0","v1038100606","20.2","10.6","","","","1"
"2019-10","Canada, ages 45 to 54","2016A000011124","Percentage of people","Percent","239","units","0","v1038100606","20.2","15.7","","","","1"
"2019-01","Canada, ages 45 to 54","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100628","20.3","9.6","","","","1"
"2019-04","Canada, ages 45 to 54","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100628","20.3","7.0","","","","1"
"2019-07","Canada, ages 45 to 54","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100628","20.3","8.3","","","","1"
"2019-10","Canada, ages 45 to 54","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100628","20.3","12.3","","","","1"
"2019-01","Canada, ages 45 to 54","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100650","20.4","16.0","","","","1"
"2019-04","Canada, ages 45 to 54","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100650","20.4","11.6","","","","1"
"2019-07","Canada, ages 45 to 54","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100650","20.4","13.5","","","","1"
"2019-10","Canada, ages 45 to 54","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100650","20.4","19.8","","","","1"
"2019-01","Canada, ages 55 to 64","2016A000011124","Number of people","Number","223","thousands","3","v1038100585","21.1","775.0","","","","1"
"2019-04","Canada, ages 55 to 64","2016A000011124","Number of people","Number","223","thousands","3","v1038100585","21.1","598.7","","","","1"
"2019-07","Canada, ages 55 to 64","2016A000011124","Number of people","Number","223","thousands","3","v1038100585","21.1","485.4","","","","1"
"2019-10","Canada, ages 55 to 64","2016A000011124","Number of people","Number","223","thousands","3","v1038100585","21.1","539.7","","","","1"
"2019-01","Canada, ages 55 to 64","2016A000011124","Percentage of people","Percent","239","units","0","v1038100607","21.2","15.3","","","","1"
"2019-04","Canada, ages 55 to 64","2016A000011124","Percentage of people","Percent","239","units","0","v1038100607","21.2","11.8","","","","1"
"2019-07","Canada, ages 55 to 64","2016A000011124","Percentage of people","Percent","239","units","0","v1038100607","21.2","9.5","","","","1"
"2019-10","Canada, ages 55 to 64","2016A000011124","Percentage of people","Percent","239","units","0","v1038100607","21.2","10.7","","","","1"
"2019-01","Canada, ages 55 to 64","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100629","21.3","12.6","","","","1"
"2019-04","Canada, ages 55 to 64","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100629","21.3","9.3","","","","1"
"2019-07","Canada, ages 55 to 64","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100629","21.3","7.7","","","","1"
"2019-10","Canada, ages 55 to 64","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100629","21.3","8.2","","","","1"
"2019-01","Canada, ages 55 to 64","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100651","21.4","18.6","","","","1"
"2019-04","Canada, ages 55 to 64","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100651","21.4","14.9","","","","1"
"2019-07","Canada, ages 55 to 64","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100651","21.4","11.8","","","","1"
"2019-10","Canada, ages 55 to 64","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100651","21.4","13.7","","","","1"
"2019-01","Canada, ages 65 years and older","2016A000011124","Number of people","Number","223","thousands","3","v1038100586","22.1","271.8","","","","1"
"2019-04","Canada, ages 65 years and older","2016A000011124","Number of people","Number","223","thousands","3","v1038100586","22.1","343.5","","","","1"
"2019-07","Canada, ages 65 years and older","2016A000011124","Number of people","Number","223","thousands","3","v1038100586","22.1","479.4","","","","1"
"2019-10","Canada, ages 65 years and older","2016A000011124","Number of people","Number","223","thousands","3","v1038100586","22.1","385.1","","","","1"
"2019-01","Canada, ages 65 years and older","2016A000011124","Percentage of people","Percent","239","units","0","v1038100608","22.2","4.4","","","","1"
"2019-04","Canada, ages 65 years and older","2016A000011124","Percentage of people","Percent","239","units","0","v1038100608","22.2","5.5","","","","1"
"2019-07","Canada, ages 65 years and older","2016A000011124","Percentage of people","Percent","239","units","0","v1038100608","22.2","7.6","","","","1"
"2019-10","Canada, ages 65 years and older","2016A000011124","Percentage of people","Percent","239","units","0","v1038100608","22.2","6.1","","","","1"
"2019-01","Canada, ages 65 years and older","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100630","22.3","3.3","","","","1"
"2019-04","Canada, ages 65 years and older","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100630","22.3","4.2","","","","1"
"2019-07","Canada, ages 65 years and older","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100630","22.3","6.0","","","","1"
"2019-10","Canada, ages 65 years and older","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units","0","v1038100630","22.3","4.7","","","","1"
"2019-01","Canada, ages 65 years and older","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100652","22.4","6.0","","","","1"
"2019-04","Canada, ages 65 years and older","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100652","22.4","7.2","","","","1"
"2019-07","Canada, ages 65 years and older","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100652","22.4","9.7","","","","1"
"2019-10","Canada, ages 65 years and older","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units","0","v1038100652","22.4","7.9","","","","1"


